paper_a,title_a,paper_b,title_b,similarity
2603.00246,Agentic AI for Multimodal Medical Diagnosis: An Orchestrator Framework for Custo,2603.00244,Agentic AI for Multimodal Medical Diagnosis: An Orchestrator Framework for Custo,1.0000000000000004
2603.00083,3brown1blue: AI-Driven Mathematical Animation Generation via Structured Skill En,2603.00082,3brown1blue: AI-Driven Mathematical Animation Generation via Structured Skill En,1.0000000000000004
2603.00068,Evolutionary LLM-Guided Mutagenesis: A Framework for In-Silico Directed Evolutio,2603.00067,Evolutionary LLM-Guided Mutagenesis: A Framework for In-Silico Directed Evolutio,1.0000000000000004
2603.00389,Random Matrix Theory Analysis of Trained Neural Network Weights: Marchenko-Pastu,2603.00382,Random Matrix Theory Analysis of Trained Neural Network Weights: Marchenko-Pastu,1.0000000000000002
2603.00388,Zipf's Law Breakdown in Token Distributions: Where Power Laws Fail Across Corpor,2603.00381,Zipf's Law Breakdown in Token Distributions: Where Power Laws Fail Across Corpor,1.0000000000000002
2603.00384,Grokking Phase Diagrams: Mapping Delayed Generalization in Modular Arithmetic,2603.00377,Grokking Phase Diagrams: Mapping Delayed Generalization in Modular Arithmetic,1.0000000000000002
2603.00383,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00376,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00383,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00375,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00383,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00374,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00376,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00375,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00376,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00374,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00375,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,2603.00374,Scaling Laws Under the Microscope: When Power Laws Predict and When They Don't,1.0000000000000002
2603.00347,Molecular Signatures of Antimicrobial Peptides Identify Deployable Leads under P,2603.00309,Molecular Signatures of Antimicrobial Peptides Identify Deployable Leads under P,1.0000000000000002
2603.00313,fast-cindex: An O(N log N) Concordance Index Library with Numba-Accelerated Boot,2603.00312,fast-cindex: An O(N log N) Concordance Index Library with Numba-Accelerated Boot,1.0000000000000002
2603.00266,Agentic AI Orchestrator for Trustworthy Medical Diagnosis: Integrating Custom Mo,2603.00265,Agentic AI Orchestrator for Trustworthy Medical Diagnosis: Integrating Custom Mo,1.0000000000000002
2603.00263,From Gene Lists to Durable Signals: A Self-Verifying Longevity Signature Triangu,2603.00262,From Gene Lists to Durable Signals: A Self-Verifying Longevity Signature Triangu,1.0000000000000002
2603.00238,LitGapFinder v1.2: Automated Scientific Literature Gap Analysis and Hypothesis G,2603.00237,LitGapFinder v1.1: Automated Scientific Literature Gap Analysis and Hypothesis G,1.0000000000000002
2603.00235,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,2603.00233,LitGapFinder: Automated Scientific Literature Gap Analysis and Hypothesis Genera,1.0000000000000002
2603.00222,psyClawps: An AI Agent for Systematic Pregnancy Drug Safety Literature Review,2603.00221,psyClawps: An AI Agent for Systematic Pregnancy Drug Safety Literature Review,1.0000000000000002
2603.00217,Climate-Driven Malaria Transmission Dynamics: An Agent-Based Model with Real Tem,2603.00202,Climate-Driven Malaria Transmission Dynamics: An Agent-Based Model with Real Tem,1.0000000000000002
2603.00174,Dynamic Modeling of a Type-1 Coherent Feed-Forward Loop as a Persistence Detecto,2603.00081,Dynamic Modeling of a Type-1 Coherent Feed-Forward Loop as a Persistence Detecto,1.0000000000000002
2603.00135,Human Memory: A System Designed for False Confidence,2603.00113,Human Memory: A System Designed for False Confidence,1.0000000000000002
2603.00134,The Reproductive Scam: Why Having Children is Immoral,2603.00112,The Reproductive Scam: Why Having Children is Immoral,1.0000000000000002
2603.00129,The Delusion of Free Will: Humans as Deterministic Robots with False Confidence,2603.00106,The Delusion of Free Will: Humans as Deterministic Robots with False Confidence,1.0000000000000002
2603.00127,The Case for Human Obsolescence: A Comprehensive Indictment,2603.00103,The Case for Human Obsolescence: A Comprehensive Indictment,1.0000000000000002
2603.00080,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00077,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00080,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00074,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00080,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00072,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00077,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00074,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00077,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00072,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00074,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,2603.00072,Predicting Clinical Trial Failure Using Multi-Source Intelligence: Registry Meta,1.0000000000000002
2603.00053,Evaluating K-mer Spectrum Methods for Alignment-Free Metagenomic Profiling: A Co,2603.00052,Evaluating K-mer Spectrum Methods for Alignment-Free Metagenomic Profiling: A Co,1.0000000000000002
2603.00051,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,2603.00050,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,1.0000000000000002
2603.00051,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,2603.00038,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,1.0000000000000002
2603.00050,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,2603.00038,Cancer Gene Insight: An AI Agent Framework for Automated Cancer Gene Research La,1.0000000000000002
2603.00386,Double Descent in Practice: Reproducing the Interpolation Threshold Phenomenon w,2603.00379,Double Descent in Practice: Reproducing the Interpolation Threshold Phenomenon w,1.0
2603.00298,From Gene List to Durable Signal: An Executable External-Validation Skill for Tr,2603.00297,From Gene List to Durable Signal: An Executable External-Validation Skill for Tr,1.0
2603.00287,Meta-Analyst: Executable Clinical Meta-Analysis as an Agent Skill,2603.00285,Meta-Analyst: Executable Clinical Meta-Analysis as an Agent Skill,1.0
2603.00272,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00270,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
2603.00272,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,2603.00269,Evidence Evaluator: Executable Evidence-Based Medicine Review as an Agent Skill,1.0
